,symptoms
340,Scar
341,Sciatica
342,Scoliosis
343,Seborrheic dermatitis
344,Self-harm
345,Sensitivity to sound
346,Sexual dysfunction
347,Shallow breathing
348,Sharp pain
349,Shivering
350,Shortness of breath
351,Shyness
352,Sinusitis
353,Skin condition
354,Skin rash
355,Skin tag
356,Skin ulcer
357,Sleep apnea
358,Sleep deprivation
359,Sleep disorder
360,Snoring
361,Sore throat
362,Spasticity
363,Splenomegaly
364,Sputum
365,Stomach rumble
366,Strabismus
367,Stretch marks
368,Stridor
369,Stroke
370,Stuttering
371,Subdural hematoma
372,Suicidal ideation
373,Swelling
374,Swollen feet
375,Swollen lymph nodes
376,Syncope
377,Tachycardia
378,Tachypnea
379,Telangiectasia
380,Tenderness
381,Testicular pain
382,Throat irritation
383,Thrombocytopenia
384,Thyroid nodule
385,Tic
386,Tinnitus
387,Tonsillitis
388,Toothache
389,Tremor
390,Trichoptilosis
391,Tumor
392,Type 2 diabetes
393,Unconsciousness
394,Underweight
395,Upper respiratory tract infection
396,Urethritis
397,Urinary incontinence
398,Urinary tract infection
399,Urinary urgency
400,Uterine contraction
401,Vaginal bleeding
402,Vaginal discharge
403,Vaginitis
404,Varicose veins
405,Vasculitis
406,Ventricular fibrillation
407,Ventricular tachycardia
408,Vertigo
409,Viral pneumonia
410,Visual acuity
411,Vomiting
412,Wart
413,Water retention
414,Weakness
415,Weight gain
416,Wheeze
417,Xeroderma
418,Xerostomia
419,Yawn
420,hyperhidrosis
421,pancreatitis
